Month,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,0.38090000000000002,3.2322000000000002,0.14171,2,2.2999999999999998,2.3999999999999999,2.5,2.7000000000000002,2.7999999999999998,2.8999999999999999,3.2000000000000002,3.6000000000000001,3.7000000000000002,3.8999999999999999,4,4.2000000000000002,4.4000000000000004,4.7999999999999998
1,0.1714,4.1872999999999996,0.13724,2.7000000000000002,3,3.2000000000000002,3.2999999999999998,3.5,3.6000000000000001,3.7999999999999998,4.2000000000000002,4.5999999999999996,4.7999999999999998,5,5.2000000000000002,5.4000000000000004,5.7000000000000002,6.2999999999999998
2,0.096199999999999994,5.1281999999999996,0.13,3.3999999999999999,3.7999999999999998,4,4.0999999999999996,4.2999999999999998,4.5,4.7000000000000002,5.0999999999999996,5.5999999999999996,5.9000000000000004,6,6.2999999999999998,6.5,6.9000000000000004,7.5999999999999996
3,0.0402,5.8457999999999997,0.12619,3.8999999999999999,4.4000000000000004,4.5999999999999996,4.7000000000000002,5,5.0999999999999996,5.4000000000000004,5.7999999999999998,6.4000000000000004,6.7000000000000002,6.9000000000000004,7.2000000000000002,7.4000000000000004,7.7999999999999998,8.5999999999999996
4,-0.0050000000000000001,6.4237000000000002,0.12402000000000001,4.4000000000000004,4.7999999999999998,5.0999999999999996,5.2000000000000002,5.5,5.5999999999999996,5.9000000000000004,6.4000000000000004,7,7.2999999999999998,7.5,7.9000000000000004,8.0999999999999996,8.5999999999999996,9.4000000000000004
5,-0.042999999999999997,6.8985000000000003,0.12274,4.7000000000000002,5.2000000000000002,5.5,5.5999999999999996,5.9000000000000004,6.0999999999999996,6.4000000000000004,6.9000000000000004,7.5,7.7999999999999998,8.0999999999999996,8.4000000000000004,8.6999999999999993,9.1999999999999993,10.1
6,-0.075600000000000001,7.2969999999999997,0.12204,5,5.5,5.7999999999999998,6,6.2000000000000002,6.4000000000000004,6.7000000000000002,7.2999999999999998,7.9000000000000004,8.3000000000000007,8.5,8.9000000000000004,9.1999999999999993,9.6999999999999993,10.699999999999999
7,-0.10390000000000001,7.6421999999999999,0.12178,5.2999999999999998,5.7999999999999998,6.0999999999999996,6.2999999999999998,6.5,6.7000000000000002,7,7.5999999999999996,8.3000000000000007,8.6999999999999993,8.9000000000000004,9.4000000000000004,9.5999999999999996,10.199999999999999,11.199999999999999
8,-0.1288,7.9486999999999997,0.12181,5.5,6,6.2999999999999998,6.5,6.7999999999999998,7,7.2999999999999998,7.9000000000000004,8.5999999999999996,9,9.3000000000000007,9.6999999999999993,10,10.6,11.699999999999999
9,-0.1507,8.2254000000000005,0.12199,5.7000000000000002,6.2000000000000002,6.5999999999999996,6.7999999999999998,7,7.2999999999999998,7.5999999999999996,8.1999999999999993,8.9000000000000004,9.3000000000000007,9.5999999999999996,10.1,10.4,11,12.1
10,-0.17000000000000001,8.4800000000000004,0.12223000000000001,5.9000000000000004,6.4000000000000004,6.7999999999999998,7,7.2999999999999998,7.5,7.7999999999999998,8.5,9.1999999999999993,9.5999999999999996,9.9000000000000004,10.4,10.699999999999999,11.300000000000001,12.5
11,-0.18720000000000001,8.7192000000000007,0.12247,6,6.5999999999999996,7,7.2000000000000002,7.5,7.7000000000000002,8,8.6999999999999993,9.5,9.9000000000000004,10.199999999999999,10.699999999999999,11,11.699999999999999,12.9
12,-0.2024,8.9481000000000002,0.12268,6.2000000000000002,6.7999999999999998,7.0999999999999996,7.2999999999999998,7.7000000000000002,7.9000000000000004,8.1999999999999993,8.9000000000000004,9.6999999999999993,10.199999999999999,10.5,11,11.300000000000001,12,13.300000000000001
13,-0.21579999999999999,9.1699000000000002,0.12282999999999999,6.4000000000000004,6.9000000000000004,7.2999999999999998,7.5,7.9000000000000004,8.0999999999999996,8.4000000000000004,9.1999999999999993,10,10.4,10.800000000000001,11.300000000000001,11.6,12.300000000000001,13.6
14,-0.2278,9.3870000000000005,0.12293999999999999,6.5,7.0999999999999996,7.5,7.7000000000000002,8,8.3000000000000007,8.5999999999999996,9.4000000000000004,10.199999999999999,10.699999999999999,11,11.5,11.9,12.6,14
15,-0.2384,9.6007999999999996,0.12299,6.7000000000000002,7.2999999999999998,7.7000000000000002,7.9000000000000004,8.1999999999999993,8.5,8.8000000000000007,9.5999999999999996,10.4,10.9,11.300000000000001,11.800000000000001,12.199999999999999,12.9,14.300000000000001
16,-0.24779999999999999,9.8124000000000002,0.12303,6.7999999999999998,7.4000000000000004,7.7999999999999998,8.0999999999999996,8.4000000000000004,8.6999999999999993,9,9.8000000000000007,10.699999999999999,11.199999999999999,11.5,12.1,12.5,13.199999999999999,14.6
17,-0.25619999999999998,10.022600000000001,0.12306,7,7.5999999999999996,8,8.1999999999999993,8.5999999999999996,8.8000000000000007,9.1999999999999993,10,10.9,11.4,11.800000000000001,12.300000000000001,12.699999999999999,13.5,15
18,-0.26369999999999999,10.2315,0.12309,7.0999999999999996,7.7999999999999998,8.1999999999999993,8.4000000000000004,8.8000000000000007,9,9.4000000000000004,10.199999999999999,11.1,11.6,12,12.6,13,13.800000000000001,15.300000000000001
19,-0.27029999999999998,10.439299999999999,0.12315,7.2999999999999998,7.9000000000000004,8.3000000000000007,8.5999999999999996,8.9000000000000004,9.1999999999999993,9.5999999999999996,10.4,11.4,11.9,12.300000000000001,12.9,13.300000000000001,14.1,15.6
20,-0.2762,10.6464,0.12323000000000001,7.4000000000000004,8.0999999999999996,8.5,8.6999999999999993,9.0999999999999996,9.4000000000000004,9.8000000000000007,10.6,11.6,12.1,12.5,13.1,13.5,14.4,15.9
21,-0.28149999999999997,10.853400000000001,0.12335,7.5999999999999996,8.1999999999999993,8.6999999999999993,8.9000000000000004,9.3000000000000007,9.5999999999999996,10,10.9,11.800000000000001,12.4,12.800000000000001,13.4,13.800000000000001,14.6,16.199999999999999
22,-0.28620000000000001,11.0608,0.1235,7.7000000000000002,8.4000000000000004,8.8000000000000007,9.0999999999999996,9.5,9.8000000000000007,10.199999999999999,11.1,12,12.6,13,13.6,14.1,14.9,16.600000000000001
